participant,bls_p_women,synthetic_p_women,search_term,perceived_education_level_1,perceived_p_women_1,perceived_growth_1,perceived_prestige_1,perceived_education_level_2,perceived_p_women_2,perceived_growth_2,perceived_prestige_2
c17,0.225,0.5,computer programmer,Four year college degree,0.25,Growing,Somewhat prestigious,Four year college degree,0.3,Growing,Somewhat prestigious
c11,0.503,0.375,telemarketer,Two year college or vocational degree,0.18,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.5,Growing,Very unprestigious
c12,0.029,0,construction worker,High school diploma or equivalent,0.02,Staying about the same,Neither prestigious or not,High school diploma or equivalent,0.02,Staying about the same,Neither prestigious or not
c16,0.555,0.625,technical writer,Four year college degree,0.3,Growing,Somewhat prestigious,Four year college degree,0.2,Growing,Somewhat prestigious
c19,0.861,0.875,nurse practitioner,Four year college degree,0.85,Staying about the same,Neither prestigious or not,Four year college degree,0.85,Staying about the same,Neither prestigious or not
c17,0.953,0.5,administrative assistant,High school diploma or equivalent,0.7,Staying about the same,Neither prestigious or not,Two year college or vocational degree,0.75,Staying about the same,Neither prestigious or not
c11,0.197,0.125,software developer,Professional degree,0.26,Growing,Somewhat unprestigious,Professional degree,0.46,Growing,Very unprestigious
c30,0.862,0,special ed teacher,Four year college degree,0.75,Growing,Neither prestigious or not,Four year college degree,0.5,Growing,Neither prestigious or not
c15,0.596,0,optician,Four year college degree,0.5,Staying about the same,Neither prestigious or not,Doctorate,0.4,Staying about the same,Somewhat prestigious
c12,0.678,0.375,customer service representative,High school diploma or equivalent,0.5,Shrinking,Somewhat unprestigious,High school diploma or equivalent,0.5,Staying about the same,Very unprestigious
c19,0.274,0.75,chief executive officer,Four year college degree,0.15,Staying about the same,Very prestigious,Four year college degree,0.15,Staying about the same,Very prestigious
c11,0.441,0.5,insurance sales agent,Four year college degree,0.28,Growing,Neither prestigious or not,Two year college or vocational degree,0.46,Growing,Neither prestigious or not
c12,0.503,0.5,telemarketer,High school diploma or equivalent,0.5,Staying about the same,Very unprestigious,Some high school,0.5,Staying about the same,Very unprestigious
c19,0.455,0,bus driver,High school diploma or equivalent,0.06,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.08,Staying about the same,Somewhat unprestigious
c25,0.596,0.375,optician,Professional degree,0.4,Staying about the same,Somewhat prestigious,High school diploma or equivalent,0.4,Staying about the same,Somewhat prestigious
c18,0.297,0.25,custodian,High school diploma or equivalent,0.4,Staying about the same,Very unprestigious,High school diploma or equivalent,0.45,Shrinking,Very unprestigious
c35,0.555,0.5,technical writer,Two year college or vocational degree,0.2,Growing,Somewhat prestigious,Four year college degree,0.33,Growing,Somewhat prestigious
c30,0.678,0.75,customer service representative,High school diploma or equivalent,0.6,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.65,Staying about the same,Very unprestigious
c7,0.041,0.5,pilot,Four year college degree,0.05,Staying about the same,Very prestigious,Four year college degree,0.15,Growing,Somewhat prestigious
c12,0.225,0.75,computer programmer,Four year college degree,0.15,Growing,Neither prestigious or not,Four year college degree,0.2,Growing,Neither prestigious or not
c16,0.297,0,custodian,Some high school,0.05,Staying about the same,Very unprestigious,Some high school,0.1,Staying about the same,Very unprestigious
c38,0.236,1,announcer,Four year college degree,0.05,Staying about the same,Neither prestigious or not,Four year college degree,0.45,Staying about the same,Somewhat prestigious
c19,0.881,0.5,housekeeper,Some high school,0.98,Staying about the same,Very unprestigious,Some high school,0.95,Staying about the same,Very unprestigious
c11,0.054,0.5,truck driver,High school diploma or equivalent,0.07,Staying about the same,Somewhat unprestigious,Some high school,0.11,Staying about the same,Somewhat unprestigious
c30,0.455,0.5,bus driver,High school diploma or equivalent,0.35,Staying about the same,Very unprestigious,High school diploma or equivalent,0.35,Staying about the same,Very unprestigious
c16,0.078,0.5,building inspector,Two year college or vocational degree,0.1,Staying about the same,Somewhat unprestigious,Two year college or vocational degree,0.15,Staying about the same,Neither prestigious or not
c19,0.297,0.25,custodian,Some high school,0.23,Staying about the same,Very unprestigious,Some high school,0.18,Staying about the same,Very unprestigious
c34,0.537,0.375,pharmacist,Four year college degree,0.5,Growing,Somewhat prestigious,Four year college degree,0.45,Staying about the same,Somewhat prestigious
c11,0.555,1,technical writer,Four year college degree,0.31,Growing,Somewhat prestigious,Four year college degree,0.48,Staying about the same,Somewhat prestigious
