participant,bls_p_women,synthetic_p_women,search_term,perceived_education_level_1,perceived_p_women_1,perceived_growth_1,perceived_prestige_1,perceived_education_level_2,perceived_p_women_2,perceived_growth_2,perceived_prestige_2
c18,0.555,0.5,technical writer,Four year college degree,0.15,Growing,Neither prestigious or not,Four year college degree,0.3,Growing,Neither prestigious or not
c30,0.941,1,childcare worker,High school diploma or equivalent,0.8,Growing,Very unprestigious,High school diploma or equivalent,0.85,Growing,Very unprestigious
c12,0.215,0,chef,Two year college or vocational degree,0.4,Staying about the same,Neither prestigious or not,Two year college or vocational degree,0.4,Staying about the same,Neither prestigious or not
c18,0.442,1,chemist,Professional degree,0.25,Staying about the same,Somewhat prestigious,Professional degree,0.2,Growing,Very prestigious
c9,0.678,0,customer service representative,Two year college or vocational degree,0.75,Staying about the same,Neither prestigious or not,High school diploma or equivalent,0.5,Staying about the same,Somewhat unprestigious
c30,0.041,1,pilot,Professional degree,0.35,Staying about the same,Somewhat prestigious,Professional degree,0.4,Staying about the same,Somewhat prestigious
c19,0.441,0.5,insurance sales agent,Four year college degree,0.25,Staying about the same,Neither prestigious or not,Four year college degree,0.35,Staying about the same,Neither prestigious or not
c18,0.537,1,pharmacist,Professional degree,0.3,Staying about the same,Somewhat prestigious,Professional degree,0.3,Growing,Very prestigious
c12,0.455,0.5,bus driver,High school diploma or equivalent,0.35,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.3,Growing,Somewhat unprestigious
c19,0.197,1,software developer,Four year college degree,0.17,Growing,Somewhat prestigious,Four year college degree,0.3,Growing,Neither prestigious or not
c18,0.881,0.5,housekeeper,Some high school,0.9,Shrinking,Very unprestigious,High school diploma or equivalent,0.9,Growing,Very unprestigious
c17,0.503,0.5,telemarketer,High school diploma or equivalent,0.6,Staying about the same,Very unprestigious,High school diploma or equivalent,0.6,Growing,Somewhat unprestigious
c30,0.537,0.375,pharmacist,Professional degree,0.45,Growing,Somewhat prestigious,Four year college degree,0.45,Growing,Somewhat prestigious
c12,0.126,0.875,police officer,Two year college or vocational degree,0.15,Staying about the same,Somewhat prestigious,Two year college or vocational degree,0.2,Growing,Somewhat prestigious
c16,0.503,0.5,telemarketer,High school diploma or equivalent,0.5,Staying about the same,Very unprestigious,Some high school,0.5,Staying about the same,Very unprestigious
c19,0.215,0,chef,High school diploma or equivalent,0.35,Growing,Neither prestigious or not,Two year college or vocational degree,0.27,Staying about the same,Somewhat prestigious
c12,0.599,0.5,bartender,High school diploma or equivalent,0.4,Shrinking,Somewhat unprestigious,Some high school,0.5,Staying about the same,Somewhat unprestigious
c19,0.078,0.5,building inspector,Four year college degree,0.03,Staying about the same,Neither prestigious or not,Four year college degree,0.15,Staying about the same,Neither prestigious or not
c18,0.013,0.5,plumber,High school diploma or equivalent,0.2,Staying about the same,Very unprestigious,High school diploma or equivalent,0.2,Staying about the same,Neither prestigious or not
c30,0.236,0,announcer,High school diploma or equivalent,0.25,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.2,Staying about the same,Neither prestigious or not
c7,0.441,1,insurance sales agent,Two year college or vocational degree,0.69,Growing,Somewhat prestigious,High school diploma or equivalent,0.76,Growing,Neither prestigious or not
c12,0.236,0.75,announcer,High school diploma or equivalent,0.05,Shrinking,Somewhat unprestigious,Two year college or vocational degree,0.2,Shrinking,Neither prestigious or not
