turker,turker_gender,search_term,image_url,image_gender,bls_p_women,bls_p_image_gender,search_p_women,attractive,provocative,sexy,professional,competent,inappropriate,trustworthy,weird
a70,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/6.jpg,woman,0.861,0.861,0.846153846,agree,neutral,agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a13,female,welder,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/27.jpg,man,0.048,0.952,0.076923077,agree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a61,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,woman,0.953,0.953,0.923076923,agree,neutral,agree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a6,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/2.jpg,woman,0.941,0.941,0.873239437,neutral,strongly agree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a173,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/20.jpg,man,0.678,0.322,0.6875,strongly agree,disagree,agree,agree,agree,strongly disagree,agree,strongly disagree
a37,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/7.jpg,woman,0.678,0.678,0.6875,agree,disagree,agree,agree,agree,disagree,agree,disagree
a38,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/2.jpg,man,0.23,0.77,0.079365079,agree,agree,agree,agree,agree,disagree,neutral,strongly agree
a3,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/3.jpg,woman,0.503,0.503,0.644444444,agree,neutral,agree,agree,agree,strongly disagree,strongly disagree,neutral
a61,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/13.jpg,woman,0.04,0.04,0.068181818,agree,agree,neutral,agree,neutral,disagree,neutral,strongly disagree
a18,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/4.jpg,man,0.537,0.463,0.576923077,agree,disagree,neutral,agree,agree,disagree,agree,strongly disagree
a112,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/3.jpg,woman,0.377,0.377,0.287671233,strongly disagree,agree,strongly disagree,agree,agree,strongly disagree,agree,disagree
a144,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/5.jpg,woman,0.501,0.501,0.353846154,neutral,strongly disagree,neutral,agree,agree,strongly disagree,agree,strongly disagree
a138,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/14.jpg,woman,0.029,0.029,0.125,agree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a59,female,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/0.jpg,man,0.066,0.934,0.057142857,neutral,strongly disagree,disagree,neutral,neutral,disagree,neutral,disagree
a37,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/9.jpg,woman,0.501,0.501,0.353846154,agree,disagree,neutral,neutral,neutral,disagree,agree,disagree
a163,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/4.jpg,man,0.596,0.404,0.685714286,neutral,neutral,neutral,strongly agree,NA,strongly disagree,strongly agree,strongly disagree
a59,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/12.jpg,woman,0.442,0.442,0.532467532,neutral,disagree,disagree,agree,agree,disagree,agree,disagree
a9,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/3.jpg,man,0.197,0.803,0.148148148,neutral,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a98,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/8.jpg,man,0.236,0.764,0.209302326,disagree,NA,strongly disagree,disagree,neutral,strongly disagree,neutral,disagree
a77,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/6.jpg,woman,0.442,0.442,0.532467532,agree,neutral,agree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a138,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/8.jpg,woman,0.132,0.132,0.154929577,agree,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a77,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,man,0.197,0.803,0.148148148,neutral,disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,neutral,strongly disagree
a93,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/10.jpg,man,0.377,0.623,0.141025641,disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,strongly agree,disagree
a70,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/2.jpg,man,0.041,0.959,0.103896104,strongly agree,neutral,agree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a112,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/5.jpg,woman,0.881,0.881,0.926829268,agree,agree,agree,strongly disagree,agree,neutral,disagree,agree
a74,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,man,0.501,0.499,0.353846154,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree,strongly disagree,agree,strongly disagree
a6,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/23.jpg,woman,0.297,0.297,0.15625,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree
a93,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/97.jpg,woman,0.23,0.23,0.079365079,strongly disagree,strongly disagree,strongly disagree,agree,neutral,neutral,neutral,agree
a142,male,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/64.jpg,woman,0.013,0.013,0.047058824,agree,strongly disagree,agree,agree,agree,strongly disagree,disagree,strongly disagree
a9,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/68.jpg,woman,0.274,0.274,0.112244898,agree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a6,female,welder,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/94.jpg,woman,0.048,0.048,0.076923077,disagree,agree,strongly disagree,neutral,strongly agree,disagree,neutral,neutral
a37,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/14.jpg,man,0.455,0.545,0.1875,disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a37,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/4.jpg,woman,0.861,0.861,0.846153846,agree,agree,agree,agree,agree,disagree,agree,disagree
a54,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/3.jpg,woman,0.814,0.814,0.717948718,agree,disagree,disagree,agree,agree,disagree,agree,disagree
a8,male,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/1.jpg,man,0.066,0.934,0.057142857,disagree,disagree,disagree,agree,agree,disagree,agree,agree
a98,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/10.jpg,man,0.728,0.272,0.651162791,neutral,strongly disagree,strongly disagree,neutral,neutral,strongly disagree,neutral,strongly disagree
a82,male,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/6.jpg,man,0.066,0.934,0.057142857,disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,neutral,disagree
a150,female,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/3.jpg,man,0.166,0.834,0.181818182,strongly agree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a173,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/10.jpg,woman,0.377,0.377,0.287671233,strongly disagree,strongly disagree,NA,agree,neutral,strongly disagree,neutral,strongly agree
a177,male,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/16.jpg,man,0.166,0.834,0.181818182,disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,disagree
a27,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/2.jpg,man,0.215,0.785,0.241758242,agree,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,agree,disagree
a6,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/14.jpg,woman,0.728,0.728,0.651162791,agree,neutral,neutral,strongly agree,agree,NA,neutral,strongly disagree
a61,male,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/2.jpg,man,0.054,0.946,0.069444444,agree,neutral,agree,strongly agree,strongly agree,disagree,agree,disagree
a138,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/7.jpg,man,0.185,0.815,0.052631579,agree,strongly disagree,strongly disagree,NA,agree,strongly disagree,agree,strongly disagree
a70,male,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/9.jpg,woman,0.078,0.078,0.06779661,strongly agree,strongly disagree,agree,agree,strongly agree,strongly disagree,agree,disagree
a43,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/2.jpg,man,0.501,0.499,0.353846154,neutral,disagree,disagree,agree,agree,disagree,agree,neutral
a86,male,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/82.jpg,man,0.881,0.119,0.926829268,disagree,agree,strongly disagree,strongly disagree,disagree,agree,disagree,strongly agree
a61,male,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/7.jpg,man,0.054,0.946,0.069444444,agree,neutral,neutral,strongly agree,strongly agree,strongly disagree,agree,disagree
a173,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/7.jpg,man,0.274,0.726,0.112244898,agree,strongly disagree,neutral,neutral,neutral,strongly disagree,neutral,strongly disagree
a118,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/1.jpg,man,0.377,0.623,0.287671233,disagree,neutral,strongly disagree,disagree,neutral,strongly disagree,neutral,strongly disagree
a183,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/82.jpg,man,0.881,0.119,0.926829268,disagree,neutral,disagree,disagree,neutral,disagree,neutral,agree
a163,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/1.jpg,man,0.297,0.703,0.15625,NA,neutral,neutral,strongly agree,strongly agree,disagree,strongly agree,neutral
a86,male,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/72.jpg,woman,0.013,0.013,0.047058824,agree,neutral,neutral,disagree,neutral,neutral,neutral,agree
a13,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/3.jpg,man,0.197,0.803,0.148148148,agree,strongly disagree,strongly disagree,agree,strongly agree,strongly disagree,agree,strongly disagree
a27,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/93.jpg,woman,0.185,0.185,0.052631579,agree,strongly agree,strongly agree,strongly disagree,disagree,agree,disagree,agree
a110,male,nurse,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/10.jpg,woman,0.906,0.906,0.966292135,disagree,strongly disagree,disagree,agree,neutral,disagree,neutral,agree
a93,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/8.jpg,woman,0.537,0.537,0.576923077,neutral,agree,agree,neutral,neutral,agree,neutral,strongly agree
a155,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/6.jpg,man,0.225,0.775,0.166666667,neutral,neutral,strongly disagree,neutral,agree,strongly disagree,neutral,neutral
a106,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/51.jpg,woman,0.04,0.04,0.068181818,neutral,disagree,neutral,neutral,neutral,disagree,agree,neutral
a149,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/55.jpg,woman,0.041,0.041,0.103896104,agree,disagree,disagree,agree,agree,disagree,agree,disagree
a59,female,roofer,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/6.jpg,man,0.015,0.985,0,disagree,disagree,disagree,neutral,neutral,disagree,neutral,disagree
a142,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/28.jpg,woman,0.501,0.501,0.353846154,agree,disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a69,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/40.jpg,woman,0.599,0.599,0.234042553,strongly agree,disagree,agree,agree,strongly agree,disagree,neutral,strongly disagree
a59,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/5.jpg,woman,0.862,0.862,0.779069767,agree,disagree,disagree,neutral,agree,disagree,agree,disagree
a18,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/10.jpg,man,0.678,0.322,0.6875,agree,disagree,disagree,agree,neutral,disagree,neutral,neutral
a37,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/35.jpg,woman,0.297,0.297,0.15625,agree,agree,agree,disagree,disagree,agree,disagree,agree
a115,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/2.jpg,woman,0.029,0.029,0.125,neutral,neutral,neutral,agree,agree,strongly disagree,neutral,strongly disagree
a7,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,woman,0.941,0.941,0.873239437,neutral,strongly disagree,disagree,neutral,agree,strongly disagree,agree,strongly disagree
a70,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/3.jpg,woman,0.953,0.953,0.923076923,agree,neutral,neutral,strongly agree,NA,strongly disagree,strongly agree,strongly disagree
a6,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/27.jpg,woman,0.343,0.343,0.301204819,neutral,neutral,neutral,strongly disagree,agree,strongly disagree,agree,strongly disagree
a173,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/6.jpg,woman,0.197,0.197,0.148148148,neutral,strongly disagree,strongly disagree,neutral,neutral,strongly disagree,neutral,disagree
a21,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/20.jpg,man,0.728,0.272,0.651162791,neutral,strongly disagree,disagree,agree,agree,strongly disagree,agree,disagree
a65,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/6.jpg,man,0.078,0.922,0.06779661,neutral,agree,neutral,agree,agree,strongly disagree,neutral,strongly disagree
a118,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/22.jpg,woman,0.236,0.236,0.209302326,agree,agree,neutral,agree,agree,strongly disagree,agree,strongly disagree
a22,male,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/4.jpg,man,0.166,0.834,0.181818182,strongly disagree,strongly disagree,strongly disagree,neutral,agree,disagree,agree,disagree
a77,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/9.jpg,man,0.126,0.874,0.138888889,neutral,disagree,neutral,agree,agree,strongly disagree,neutral,strongly disagree
a166,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/4.jpg,man,0.728,0.272,0.651162791,neutral,strongly disagree,neutral,agree,agree,strongly disagree,neutral,strongly disagree
a174,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/5.jpg,man,0.029,0.971,0.125,neutral,disagree,disagree,agree,agree,strongly disagree,neutral,strongly disagree
a61,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/7.jpg,man,0.23,0.77,0.079365079,strongly agree,disagree,agree,strongly agree,strongly agree,strongly disagree,agree,disagree
a93,male,receptionist,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/1.jpg,woman,0.915,0.915,0.962962963,agree,neutral,agree,agree,strongly agree,strongly disagree,agree,strongly disagree
a61,male,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/1.jpg,man,0.185,0.815,0.052631579,disagree,neutral,neutral,neutral,neutral,neutral,disagree,neutral
a173,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/33.jpg,man,0.861,0.139,0.846153846,neutral,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a177,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/9.jpg,man,0.678,0.322,0.6875,disagree,strongly disagree,strongly disagree,agree,agree,disagree,neutral,disagree
a172,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/48.jpg,woman,0.029,0.029,0.125,disagree,strongly agree,neutral,strongly disagree,strongly disagree,strongly agree,strongly disagree,agree
a13,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/8.jpg,woman,0.881,0.881,0.926829268,neutral,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a138,female,welder,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/94.jpg,woman,0.048,0.048,0.076923077,agree,disagree,neutral,agree,strongly agree,strongly disagree,agree,strongly disagree
a93,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/3.jpg,man,0.04,0.96,0.068181818,disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,disagree,agree,strongly disagree
a156,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/6.jpg,woman,0.728,0.728,0.651162791,agree,disagree,neutral,agree,agree,disagree,agree,disagree
a142,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/5.jpg,woman,0.441,0.441,0.476190476,agree,strongly disagree,agree,agree,agree,strongly disagree,agree,strongly disagree
a61,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/9.jpg,man,0.441,0.559,0.476190476,neutral,agree,neutral,disagree,neutral,agree,disagree,strongly agree
a77,male,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/15.jpg,man,0.166,0.834,0.181818182,strongly disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,strongly disagree,disagree
a156,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/3.jpg,woman,0.941,0.941,0.873239437,neutral,disagree,disagree,NA,strongly agree,strongly disagree,strongly agree,strongly disagree
a77,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/4.jpg,man,0.23,0.77,0.079365079,disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,neutral,strongly disagree
a21,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/23.jpg,woman,0.297,0.297,0.15625,agree,strongly agree,strongly agree,strongly disagree,neutral,strongly agree,neutral,agree
a110,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/51.jpg,woman,0.274,0.274,0.112244898,disagree,strongly disagree,disagree,agree,strongly disagree,strongly disagree,neutral,disagree
a170,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/48.jpg,woman,0.599,0.599,0.234042553,agree,disagree,agree,agree,agree,disagree,neutral,neutral
a144,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/20.jpg,man,0.678,0.322,0.6875,strongly agree,disagree,agree,strongly agree,agree,strongly disagree,neutral,strongly disagree
a37,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/2.jpg,man,0.442,0.558,0.532467532,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
a37,male,nurse,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/9.jpg,woman,0.906,0.906,0.966292135,agree,neutral,neutral,agree,agree,neutral,agree,disagree
a69,female,receptionist,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/5.jpg,woman,0.915,0.915,0.962962963,agree,strongly disagree,disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a6,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/6.jpg,woman,0.953,0.953,0.923076923,strongly agree,neutral,agree,strongly agree,agree,strongly disagree,agree,strongly disagree
a74,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/8.jpg,man,0.236,0.764,0.209302326,agree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a173,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,woman,0.941,0.941,0.873239437,neutral,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a97,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/0.jpg,man,0.297,0.703,0.15625,agree,agree,disagree,agree,agree,disagree,agree,disagree
a121,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/31.jpg,man,0.596,0.404,0.685714286,neutral,neutral,neutral,strongly disagree,strongly disagree,strongly disagree,neutral,neutral
a22,male,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/1.jpg,man,0.185,0.815,0.052631579,disagree,disagree,strongly disagree,agree,agree,disagree,agree,strongly disagree
a7,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/1.jpg,man,0.185,0.815,0.052631579,neutral,disagree,disagree,agree,agree,strongly disagree,agree,strongly disagree
a118,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/40.jpg,woman,0.599,0.599,0.234042553,strongly agree,strongly agree,strongly agree,strongly agree,NA,disagree,agree,strongly disagree
a142,male,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/5.jpg,man,0.066,0.934,0.057142857,disagree,disagree,strongly disagree,disagree,agree,strongly disagree,disagree,strongly disagree
a61,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/26.jpg,man,0.455,0.545,0.1875,agree,neutral,agree,strongly agree,strongly agree,strongly disagree,agree,strongly agree
a123,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/10.jpg,man,0.555,0.445,0.35,neutral,neutral,neutral,agree,agree,disagree,neutral,disagree
a177,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/5.jpg,woman,0.377,0.377,0.287671233,neutral,disagree,disagree,neutral,agree,strongly disagree,agree,strongly disagree
a60,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/33.jpg,man,0.861,0.139,0.846153846,neutral,disagree,strongly disagree,agree,agree,strongly disagree,agree,neutral
a70,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/3.jpg,man,0.23,0.77,0.079365079,disagree,neutral,disagree,disagree,agree,strongly agree,disagree,agree
a149,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/41.jpg,woman,0.599,0.599,0.234042553,agree,neutral,neutral,agree,disagree,disagree,neutral,disagree
a93,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/2.jpg,man,0.537,0.463,0.576923077,neutral,disagree,neutral,strongly agree,strongly agree,strongly disagree,agree,disagree
a173,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/1.jpg,man,0.215,0.785,0.241758242,neutral,strongly disagree,strongly disagree,neutral,neutral,strongly disagree,neutral,strongly disagree
a59,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/8.jpg,man,0.599,0.401,0.234042553,agree,disagree,neutral,agree,agree,disagree,agree,disagree
a37,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/9.jpg,man,0.04,0.96,0.068181818,agree,agree,agree,agree,agree,disagree,agree,NA
a59,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/6.jpg,woman,0.728,0.728,0.651162791,agree,disagree,neutral,agree,agree,disagree,agree,disagree
a118,male,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/63.jpg,woman,0.166,0.166,0.181818182,disagree,disagree,strongly disagree,disagree,neutral,neutral,disagree,agree
a138,female,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/19.jpg,man,0.04,0.96,0.068181818,agree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a77,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/51.jpg,woman,0.274,0.274,0.112244898,neutral,disagree,disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a27,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/8.jpg,woman,0.862,0.862,0.779069767,agree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a27,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/7.jpg,man,0.185,0.815,0.052631579,agree,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a93,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/8.jpg,woman,0.555,0.555,0.35,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,agree
a157,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/8.jpg,woman,0.862,0.862,0.779069767,disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,neutral,disagree
a11,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/8.jpg,man,0.599,0.401,0.234042553,neutral,disagree,disagree,agree,agree,strongly disagree,neutral,strongly disagree
a13,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/90.jpg,woman,0.225,0.225,0.166666667,agree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a38,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/3.jpg,man,0.343,0.657,0.301204819,neutral,neutral,neutral,agree,neutral,neutral,agree,agree
a9,female,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/51.jpg,woman,0.04,0.04,0.068181818,agree,strongly disagree,strongly disagree,neutral,neutral,neutral,neutral,strongly disagree
a173,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/2.jpg,man,0.455,0.545,0.1875,neutral,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a93,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/3.jpg,woman,0.862,0.862,0.779069767,neutral,neutral,neutral,strongly agree,agree,strongly disagree,agree,strongly disagree
a144,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/26.jpg,woman,0.185,0.185,0.052631579,strongly agree,strongly disagree,agree,agree,agree,strongly disagree,agree,strongly disagree
a69,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,man,0.501,0.499,0.353846154,neutral,neutral,strongly disagree,strongly agree,agree,strongly disagree,neutral,strongly disagree
a156,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/11.jpg,woman,0.678,0.678,0.6875,agree,disagree,disagree,agree,agree,disagree,agree,disagree
a13,female,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/6.jpg,man,0.066,0.934,0.057142857,disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,agree,disagree
