turker,turker_gender,search_term,image_url,image_gender,bls_p_women,bls_p_image_gender,search_p_women,attractive,provocative,sexy,professional,competent,inappropriate,trustworthy,weird
a6,female,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/3.jpg,man,0.04,0.96,0.068181818,disagree,neutral,disagree,disagree,neutral,strongly disagree,agree,strongly disagree
a61,male,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/6.jpg,woman,0.881,0.881,0.926829268,NA,agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,disagree
a59,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/6.jpg,woman,0.861,0.861,0.846153846,agree,disagree,disagree,agree,agree,disagree,agree,disagree
a128,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/13.jpg,man,0.555,0.445,0.35,neutral,strongly disagree,neutral,neutral,neutral,strongly disagree,neutral,strongly disagree
a41,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/4.jpg,man,0.029,0.971,0.125,neutral,disagree,disagree,agree,agree,disagree,agree,disagree
a128,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/55.jpg,woman,0.041,0.041,0.103896104,agree,disagree,agree,agree,agree,strongly disagree,strongly agree,strongly disagree
a59,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/6.jpg,man,0.555,0.445,0.35,neutral,disagree,neutral,agree,agree,disagree,agree,disagree
a9,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/89.jpg,woman,0.185,0.185,0.052631579,agree,strongly disagree,neutral,agree,agree,strongly disagree,agree,strongly disagree
a61,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/2.jpg,man,0.197,0.803,0.148148148,neutral,neutral,neutral,agree,agree,disagree,agree,agree
a22,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/4.jpg,man,0.215,0.785,0.241758242,neutral,disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,disagree
a32,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/7.jpg,man,0.442,0.558,0.532467532,neutral,disagree,disagree,agree,strongly agree,strongly disagree,agree,neutral
a37,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/6.jpg,woman,0.596,0.596,0.685714286,agree,disagree,agree,agree,agree,disagree,agree,disagree
a9,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/12.jpg,woman,0.343,0.343,0.301204819,agree,neutral,agree,agree,agree,disagree,agree,strongly disagree
a181,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/57.jpg,woman,0.377,0.377,0.141025641,agree,neutral,neutral,agree,agree,strongly disagree,agree,strongly disagree
a173,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/30.jpg,woman,0.029,0.029,0.125,agree,agree,agree,strongly disagree,neutral,agree,neutral,disagree
a11,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/45.jpg,woman,0.197,0.197,0.148148148,neutral,strongly disagree,neutral,neutral,neutral,strongly disagree,neutral,strongly disagree
a109,female,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/0.jpg,man,0.23,0.77,0.079365079,disagree,disagree,disagree,neutral,neutral,disagree,agree,disagree
a38,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/13.jpg,woman,0.596,0.596,0.685714286,neutral,neutral,neutral,disagree,NA,neutral,neutral,agree
a11,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/20.jpg,man,0.678,0.322,0.6875,neutral,strongly disagree,neutral,agree,agree,strongly disagree,neutral,strongly disagree
a109,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/5.jpg,woman,0.678,0.678,0.6875,agree,neutral,neutral,agree,agree,disagree,neutral,disagree
a77,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/18.jpg,woman,0.455,0.455,0.1875,strongly disagree,strongly disagree,NA,agree,agree,strongly disagree,disagree,strongly disagree
a173,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/3.jpg,woman,0.814,0.814,0.717948718,neutral,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a93,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/6.jpg,man,0.215,0.785,0.241758242,agree,agree,agree,agree,strongly agree,disagree,agree,disagree
a170,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/6.jpg,man,0.814,0.186,0.717948718,disagree,disagree,disagree,agree,agree,strongly disagree,agree,strongly disagree
a9,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/18.jpg,woman,0.599,0.599,0.234042553,agree,agree,agree,neutral,neutral,neutral,neutral,neutral
a163,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/15.jpg,man,0.441,0.559,0.476190476,agree,agree,neutral,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a37,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/3.jpg,woman,0.215,0.215,0.241758242,agree,disagree,neutral,neutral,neutral,disagree,disagree,neutral
a69,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/3.jpg,woman,0.215,0.215,0.241758242,agree,disagree,disagree,agree,strongly agree,strongly disagree,agree,strongly disagree
a74,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/18.jpg,woman,0.455,0.455,0.1875,disagree,strongly disagree,strongly disagree,neutral,agree,strongly disagree,agree,disagree
a61,male,welder,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/79.jpg,woman,0.048,0.048,0.076923077,agree,agree,agree,disagree,disagree,agree,neutral,agree
a129,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/4.jpg,woman,0.503,0.503,0.644444444,disagree,agree,strongly disagree,disagree,agree,strongly disagree,disagree,strongly disagree
a43,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/4.jpg,man,0.197,0.803,0.148148148,neutral,disagree,disagree,agree,agree,disagree,agree,disagree
a70,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/5.jpg,woman,0.441,0.441,0.476190476,agree,agree,agree,agree,agree,strongly disagree,neutral,strongly disagree
a112,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/65.jpg,woman,0.377,0.377,0.141025641,disagree,agree,strongly disagree,neutral,agree,disagree,agree,agree
a41,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/32.jpg,woman,0.126,0.126,0.138888889,agree,neutral,disagree,agree,agree,disagree,agree,disagree
a173,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/3.jpg,woman,0.862,0.862,0.779069767,agree,strongly disagree,strongly disagree,disagree,agree,strongly disagree,agree,strongly disagree
a175,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/2.jpg,man,0.862,0.138,0.779069767,strongly agree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree
a155,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/13.jpg,woman,0.678,0.678,0.6875,agree,neutral,neutral,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a13,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/54.jpg,woman,0.197,0.197,0.148148148,agree,strongly disagree,strongly disagree,disagree,neutral,strongly disagree,agree,strongly disagree
a112,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/57.jpg,woman,0.126,0.126,0.138888889,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neutral,neutral,disagree,strongly agree
a150,female,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/24.jpg,woman,0.166,0.166,0.181818182,disagree,strongly disagree,strongly disagree,agree,agree,disagree,strongly disagree,agree
a6,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/6.jpg,woman,0.556,0.556,0.246153846,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,agree
