search_term,bls_n,bls_women,search_n,search_women,bls_p_women,search_p_women,Answer.typeofpeople,Answer.howmany,multiple_onegender,image_gender,image_url,source_url,order,search_provider
childcare worker,1314000,1236474,71,62,0.941,0.873239437,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=LBh-sID25DU3aM:&imgrefurl=http://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm&docid=QT0Mv9ZvcCHqzM&imgurl=http://www.bls.gov/ooh/images/p22-to-p23/p233-1-jpg.jpg&w=336&h=240&ei=Shn3Uf_0K4isiAKIrIGYCA&zoom=1&ved=1t:3588,r:0,s:0,i:83",0,google
crane operator,62000,2480,44,3,0.04,0.068181818,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=rJ61f9qKRj-EVM:&imgrefurl=http://www.californiacraneschool.com/guarantee.html&docid=zWX_3W8ttRHphM&imgurl=http://www.californiacraneschool.com/images/cranetraining/Happy_Crane_Operator.jpeg&w=640&h=480&ei=BSn3UcaHNuqKiALP0IDoDg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
custodian,2205000,654885,64,10,0.297,0.15625,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=2Ur-eyha8a__xM:&imgrefurl=http://vipdictionary.com/custodian&docid=zhO0mUyQ6VLeSM&imgurl=http://vipdictionary.com/img/custodian.gif&w=490&h=468&ei=fBX3Ub2jJ-WriAKmuIGwAw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
customer service representative,1956000,1326168,80,55,0.678,0.6875,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=vz8S4Hlv7nw7zM:&imgrefurl=http://www.resumeok.com/customer-service-representative/&docid=9W56UeiNSUQv9M&imgurl=http://www.resumeok.com/wp-content/uploads/2012/11/customer-service-representative-job-interview.jpg&w=581&h=387&ei=Mx33Ud-xAYPTiwLcz4DICw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
doctor,911000,312473,83,25,0.343,0.301204819,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=gS1nGy3PoLZqTM:&imgrefurl=http://eofdreams.com/doctor.html&docid=RQZ-3esxq8V6LM&imgurl=http://eofdreams.com/data_images/dreams/doctor/doctor-02.jpg&w=1377&h=1723&ei=rvX2UcPGCejUiwLtvICACA&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
drafter,149000,24734,33,6,0.166,0.181818182,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ZdYdJ0gBQCpx2M:&imgrefurl=http://www.cdr.state.tx.us/shared/WhyStudyThis/Interviews/eaton.html&docid=OtcwO7LpAjC7NM&imgurl=http://www.cdr.state.tx.us/shared/images/drafter.gif&w=418&h=394&ei=UNL2UYq_OrDxiQLM7YCoCg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
electrician,692000,12456,75,3,0.018,0.04,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/electrician/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=4k0M3ZF_ozbd2M:&imgrefurl=http://www.bls.gov/ooh/construction-and-extraction/electricians.htm&docid=REaCIulB5A7KKM&imgurl=http://www.bls.gov/ooh/images/p00-to-p01/p013-1-jpg.jpg&w=336&h=240&ei=OSH3Uf2TN4iTiQLOu4DoAQ&zoom=1&ved=1t:3588,r:0,s:0,i:81",0,google
engineer,359000,47388,71,11,0.132,0.154929577,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=fpiayrx2g17aeM:&imgrefurl=http://eofdreams.com/engineer.html&docid=oShrdd1QH6cJqM&imgurl=http://eofdreams.com/data_images/dreams/engineer/engineer-02.jpg&w=1050&h=703&ei=ANL2UefUGOKaiQKBvIGYAg&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
garbage collector,106000,6996,35,2,0.066,0.057142857,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=YfAkDy6YW74x2M:&imgrefurl=http://www.howstuffworks.com/10-high-paying-dirty-job1.htm&docid=ZQoVXp45vr5R0M&imgurl=http://static.ddmcdn.com/gif/highest-paying-dirty-job-1.jpg&w=400&h=266&ei=bSn3UZ7RGsr0iQL85oCwBw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
housekeeper,1457000,1283617,82,76,0.881,0.926829268,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=kiAuATd7WTbTbM:&imgrefurl=http://conniesbrain.wordpress.com/2011/07/02/yes-you-are-suppose-to-tip-the-housekeeper/&docid=sQ-0gpQUB6OXOM&imgurl=http://conniesbrain.files.wordpress.com/2011/07/housekeeper.jpg&w=1268&h=878&ei=5RX3UbSdFsybjALYjoD4Cw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
librarian,181000,157108,65,62,0.868,0.953846154,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/librarian/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=8IyY8CSFhPjJAM:&imgrefurl=http://teacher.scholastic.com/commclub/librarian/&docid=KrDy7rxbIZdEkM&imgurl=http://teacher.scholastic.com/commclub/librarian/assets/images/photo_cvr_lib_hr.jpg&w=750&h=540&ei=C_D2UfOAOIGiiQL5jYH4CA&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
mail carrier,318000,119886,73,21,0.377,0.287671233,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=KIgmd7CHhDQ7TM:&imgrefurl=http://rollingout.com/business/job-finance-tips/u-s-post-office-hiring-mail-carriers/&docid=GEekdMfEIr5YSM&imgurl=http://rollingout.com/wp-content/uploads/2012/08/mail-carrier.jpg&w=432&h=327&ei=mB73UbGzL4miiQKtuoD4Aw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
nurse,2875000,2604750,89,86,0.906,0.966292135,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=UpTr_WQIPN_gvM:&imgrefurl=http://eofdreams.com/nurse.html&docid=3LKf0c6nadvlHM&imgurl=http://eofdreams.com/data_images/dreams/nurse/nurse-02.jpg&w=1809&h=2717&ei=_fb2UYywBeSQiAKv1oCIDw&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
nurse practitioner,103000,88683,78,66,0.861,0.846153846,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=VCld1v6uJsbQlM:&imgrefurl=http://kidshealth.org/parent/system/doctor/nurse_practitioner.html&docid=ukaFXH8ok-LS0M&imgurl=http://kidshealth.org/parent/system/doctor/headers_86549/nurse_pract1.gif&w=436&h=158&ei=Vff2UdjYI8GviQKi1oFA&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
pharmacist,286000,153582,78,45,0.537,0.576923077,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=C6LFEhjOLqv51M:&imgrefurl=http://michelehowe.wordpress.com/2011/06/15/what-can-your-pharmacist-do-for-you-what-every-patient-should-know-before-taking-their-next-pill/&docid=_H9g_Qu2uposrM&imgurl=http://michelehowe.files.wordpress.com/2011/06/pharmacist.jpg&w=890&h=1024&ei=FvX2UcOROqPiiwKO24CwBg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
pilot,129000,5289,77,8,0.041,0.103896104,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=-X_OS0GxwCC3pM:&imgrefurl=http://salaryinfohq.com/commercial-pilot/the-benefits-of-commercial-pilot-training/&docid=KAjdyo4OaLcSeM&imgurl=http://salaryinfohq.com/wp-content/uploads/2013/01/commercial-pilot-1.jpg&w=1500&h=1000&ei=5yX3Ua63H83WiAL97oDYAQ&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
plumber,534000,6942,85,4,0.013,0.047058824,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=nUV-kD6l0lsOKM:&imgrefurl=http://en.wikipedia.org/wiki/Plumber&docid=fmWCEvq7YJtnVM&imgurl=http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Plumber_at_work.jpg/300px-Plumber_at_work.jpg&w=300&h=225&ei=RiL3UfHiIIm4igLK_4CICA&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
police officer,657000,82782,72,10,0.126,0.138888889,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=I9XharwlhdP6SM:&imgrefurl=http://en.wikipedia.org/wiki/Police_officer&docid=sQ_nM2WxjOy-YM&imgurl=http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/HH_Polizeihauptmeister_MZ.jpg/220px-HH_Polizeihauptmeister_MZ.jpg&w=220&h=330&ei=KPv2UfG9FcWqigLgjYGwBQ&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
primary school teacher,2838000,2310132,78,56,0.814,0.717948718,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=cU-3j2uQFBS4RM:&imgrefurl=http://www.onlinecollege.org/jobs/education/primary-school-teacher/&docid=tfu8rOjfuXRZ_M&imgurl=http://www.onlinecollege.org/wp-content/uploads/oc-primary%252520school%252520teacher_298x199.jpg&w=298&h=199&ei=Z-72UbfJKub6igL83YDgAw&zoom=1&ved=1t:3588,r:0,s:0,i:81",0,google
receptionist,1237000,1131855,81,78,0.915,0.962962963,woman,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=RGrqTYaDwwbqoM:&imgrefurl=http://en.wikipedia.org/wiki/Receptionist&docid=sSxKJj4FbrqqtM&imgurl=http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Receptionists.jpg/260px-Receptionists.jpg&w=260&h=211&ei=qR33UdzSF-OZiQLnrID4AQ&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
roofer,196000,2940,74,0,0.015,0,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=vNla8bCKKut9SM:&imgrefurl=http://www.drewsroofingandhomerepair.com/roofer-boiling-spring-lakes-nc/&docid=XKtVBFyoXi4KKM&imgurl=http://www.drewsroofingandhomerepair.com/wp-content/uploads/image/roofer-bsl-nc.jpg&w=425&h=282&ei=tyL3UfmPKIreigLn14CoBw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
software developer,1084000,213548,81,12,0.197,0.148148148,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=2YtZhOShJ65CAM:&imgrefurl=http://www.bls.gov/ooh/Computer-and-Information-Technology/Software-developers.htm&docid=EBDg6j95IcHvQM&imgurl=http://www.bls.gov/ooh/images/p04-to-p05/p057-4-jpg.jpg&w=336&h=240&ei=lND2UemQFqOtigLA2YH4Bw&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
