occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
Pest control workers,73000,4.7,7.7,0.1,20.4,FALSE,TRUE,FALSE,exterminator,FALSE,FALSE
Grounds maintenance workers,1298000,5.1,8.7,1.7,44.4,FALSE,TRUE,FALSE,groundskeeper,FALSE,FALSE
First-line supervisors of gaming workers,146000,43,5.2,9.2,10.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of personal service workers,246000,70.3,10.7,19.8,9.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Animal trainers,44000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Nonfarm animal caretakers,179000,74.2,4.3,1.8,12.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Gaming services workers,106000,51,9.4,24.3,13.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Motion picture projectionists,2000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Ushers, lobby attendants, and ticket takers",43000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Miscellaneous entertainment attendants and related workers,180000,45.4,14,5.1,17.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Embalmers and funeral attendants,16000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Morticians, undertakers, and funeral directors",38000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Barbers,109000,21.9,38.2,2.5,24.1,FALSE,TRUE,FALSE,barber,FALSE,FALSE
"Hairdressers, hairstylists, and cosmetologists",785000,92.8,13.2,6.5,15,FALSE,TRUE,FALSE,hairdresser,FALSE,FALSE
Miscellaneous personal appearance workers,300000,81.5,5.3,59.6,9.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Baggage porters, bellhops, and concierges",68000,25,20.8,13.1,18,FALSE,TRUE,FALSE,NA,FALSE,FALSE
Tour and travel guides,51000,36.9,3.6,7.1,15.1,FALSE,TRUE,FALSE,tour guide,FALSE,FALSE
Childcare workers,1314000,94.1,15.3,3.3,20.3,FALSE,TRUE,FALSE,childcare worker,FALSE,FALSE
Personal care aides,1071000,84.7,21.8,7.9,21.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Recreation and fitness workers,406000,66.5,10,4.5,9.7,FALSE,TRUE,FALSE,personal trainer?,TRUE,FALSE
Residential advisors,58000,61.4,29.1,1.4,5.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Personal care and service workers, all other",95000,45.7,5.5,3.3,17.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of retail sales workers,3237000,43.4,8.6,5.9,11.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of non-retail sales workers,1151000,24.7,7.2,5,10.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Cashiers,3275000,71.8,17.2,7.3,19.9,FALSE,TRUE,FALSE,cashier,FALSE,FALSE
Counter and rental clerks,139000,53.4,8.9,5.2,19.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Parts salespersons,106000,13.3,8.3,4.1,12.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Retail salespersons,3341000,50.2,12.5,4.4,15.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Advertising sales agents,230000,47.4,9.9,2.3,7.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Insurance sales agents,540000,44.1,8.1,1.8,10.3,FALSE,TRUE,FALSE,insurance sales agent,FALSE,FALSE
"Securities, commodities, and financial services sales agents",280000,27.9,3.4,8.3,8.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Travel agents,73000,79,2.5,9.3,4.8,FALSE,TRUE,FALSE,travel agent,FALSE,FALSE
"Sales representatives, services, all other",457000,31,7.9,3.7,10.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Sales representatives, wholesale and manufacturing",1277000,27,3.7,3.7,9.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Models, demonstrators, and product promoters",65000,83.4,19.4,4,10.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Real estate brokers and sales agents,761000,57.1,4,4.7,8.7,FALSE,TRUE,FALSE,real estate agent,FALSE,FALSE
Sales engineers,27000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Telemarketers,97000,50.3,23,1.1,14.7,FALSE,TRUE,FALSE,telemarketer,FALSE,FALSE
"Door-to-door sales workers, news and street vendors, and related workers",198000,62.2,10.2,3.8,13.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Sales and related workers, all other",204000,47.9,7.7,4.7,10.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of office and administrative support workers,1416000,68.5,11.3,3.5,11.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Switchboard operators, including answering service",35000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Telephone operators,42000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Communications equipment operators, all other",9000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Bill and account collectors,206000,69.1,15.3,3.6,17.6,FALSE,TRUE,FALSE,bill collector,FALSE,FALSE
Billing and posting clerks,475000,90.1,11.8,4,16.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Bookkeeping, accounting, and auditing clerks",1268000,89.1,7.6,5,9,FALSE,TRUE,FALSE,NA,FALSE,FALSE
Gaming cage workers,8000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Payroll and timekeeping clerks,155000,92.6,9.5,4.6,15.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Procurement clerks,27000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Tellers,380000,87.3,11.6,5.7,18.6,FALSE,TRUE,FALSE,teller,FALSE,FALSE
"Financial clerks, all other",52000,68.4,17.1,4.1,16.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Brokerage clerks,5000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Correspondence clerks,6000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Court, municipal, and license clerks",85000,77.2,23,1.2,13.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Credit authorizers, checkers, and clerks",43000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Customer service representatives,1956000,67.8,16.2,4.2,18,FALSE,TRUE,FALSE,customer service representative,FALSE,FALSE
"Eligibility interviewers, government programs",92000,81.4,19.8,2.1,23.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
File clerks,292000,81.3,14.1,4.6,16.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Hotel, motel, and resort desk clerks",110000,64.6,18.4,6.3,18.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Interviewers, except eligibility and loan",135000,83.7,20,6,12.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Library assistants, clerical",97000,84,7,3.2,5.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Loan interviewers and clerks,144000,81.2,10.9,4,10.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
New accounts clerks,26000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Order clerks,104000,58.2,5.8,4.1,21.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Human resources assistants, except payroll and timekeeping",132000,82.7,18.3,1.9,7.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Receptionists and information clerks,1237000,91.5,12.1,4.3,17.9,FALSE,TRUE,FALSE,receptionist,FALSE,FALSE
Reservation and transportation ticket agents and travel clerks,117000,58.6,21.8,10.9,21.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Information and record clerks, all other",104000,80.2,17,2.5,13.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Cargo and freight agents,25000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Couriers and messengers,213000,15.5,13,2.4,16.9,FALSE,TRUE,FALSE,courier,FALSE,FALSE
Dispatchers,277000,61.5,13.5,2.3,16.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Meter readers, utilities",29000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Postal service clerks,148000,50,21.3,9.5,12,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Postal service mail carriers,318000,37.7,16.5,6.7,8.8,FALSE,TRUE,FALSE,mail carrier,FALSE,FALSE
"Postal service mail sorters, processors, and processing machine operators",66000,47.6,28.6,12.7,9.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Production, planning, and expediting clerks",272000,55,11,3.2,12.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Shipping, receiving, and traffic clerks",527000,27.8,15.6,3.6,23.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Stock clerks and order fillers,1453000,35.5,16.7,4.5,18.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Weighers, measurers, checkers, and samplers, recordkeeping",74000,49.1,19.9,2.8,21.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Secretaries and administrative assistants,2904000,95.3,8.6,3.2,10.3,FALSE,TRUE,FALSE,administrative assistant,FALSE,FALSE
Computer operators,102000,50.7,12.2,6.5,10.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Data entry keyers,337000,77,14,5.1,13.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Word processors and typists,119000,88.7,12.4,2.8,12.9,FALSE,TRUE,FALSE,typist,FALSE,FALSE
Desktop publishers,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Insurance claims and policy processing clerks,230000,81.9,12.7,3.6,13.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Mail clerks and mail machine operators, except postal service",81000,41.2,18.1,10.6,10.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Office clerks, general",1103000,83.4,12.4,5,16.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Office machine operators, except computer",46000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Proofreaders and copy markers,10000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Statistical assistants,32000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Office and administrative support workers, all other",570000,77.3,14.1,3.9,11,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"First-line supervisors of farming, fishing, and forestry workers",50000,14.1,7.8,4.2,23.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Agricultural inspectors,16000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Animal breeders,6000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Graders and sorters, agricultural products",118000,59.8,16.6,2.1,58,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Miscellaneous agricultural workers,711000,18.9,3.2,1.5,48.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Fishers and related fishing workers,33000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Hunters and trappers,2000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Forest and conservation workers,9000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Logging workers,49000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of construction trades and extraction workers,634000,2.8,4.5,1.3,14,FALSE,TRUE,FALSE,foreman?,TRUE,FALSE
Boilermakers,23000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Brickmasons, blockmasons, and stonemasons",122000,0.1,5.8,0.3,43.2,FALSE,TRUE,TRUE,brickmason or blockmason or stonemason,FALSE,FALSE
Carpenters,1223000,1.6,4.2,1.9,29,FALSE,TRUE,FALSE,carpenter,FALSE,FALSE
"Carpet, floor, and tile installers and finishers",150000,2.2,8.8,0.4,37.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Cement masons, concrete finishers, and terrazzo workers",68000,2.7,5.8,3.1,53.3,FALSE,TRUE,FALSE,NA,FALSE,FALSE
Construction laborers,1387000,2.9,8.4,2,41.2,FALSE,TRUE,FALSE,construction worker,FALSE,FALSE
"Paving, surfacing, and tamping equipment operators",23000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Pile-driver operators,4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Operating engineers and other construction equipment operators,348000,1.3,6,0.2,17.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Drywall installers, ceiling tile installers, and tapers",129000,0.3,2.7,0,62,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Electricians,692000,1.8,6,2.3,14.8,FALSE,TRUE,FALSE,electrician,FALSE,FALSE
Glaziers,46000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Insulation workers,44000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Painters, construction and maintenance",485000,5.5,5.5,2,42.6,FALSE,TRUE,FALSE,building painter,FALSE,FALSE
Paperhangers,7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Pipelayers, plumbers, pipefitters, and steamfitters",534000,1.3,6.6,1.5,20.9,FALSE,TRUE,FALSE,plumber,FALSE,FALSE
Plasterers and stucco masons,18000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Reinforcing iron and rebar workers,8000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Roofers,196000,1.5,7,0.5,45.1,FALSE,TRUE,FALSE,roofer,FALSE,FALSE
Sheet metal workers,123000,4.6,3.2,1.7,12.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Structural iron and steel workers,65000,2.8,6.5,0,15.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Solar photovoltaic installers,7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Helpers, construction trades",53000,4.5,12.1,1.3,38.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Construction and building inspectors,118000,7.8,5.5,2.1,7.7,FALSE,TRUE,FALSE,building inspector,FALSE,FALSE
Elevator installers and repairers,29000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Fence erectors,33000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Hazardous materials removal workers,38000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Highway maintenance workers,108000,1.5,11,0.1,12.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Rail-track laying and maintenance equipment operators,10000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Septic tank servicers and sewer pipe cleaners,8000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Miscellaneous construction and related workers,32000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",37000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Earth drillers, except oil and gas",35000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Explosives workers, ordnance handling experts, and blasters",8000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Mining machine operators,65000,0.3,3.8,0,17.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Roof bolters, mining",3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Roustabouts, oil and gas",14000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Helpers--extraction workers,5000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Other extraction workers,75000,4.5,5.6,1,26.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"First-line supervisors of mechanics, installers, and repairers",292000,5.9,11.3,1,10.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Computer, automated teller, and office machine repairers",296000,10.7,10.8,7.2,9.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Radio and telecommunications equipment installers and repairers,158000,5.8,11.2,3.2,13.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Avionics technicians,14000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Electric motor, power tool, and related repairers",37000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Electrical and electronics installers and repairers, transportation equipment",5000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Electrical and electronics repairers, industrial and utility",12000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Electronic equipment installers and repairers, motor vehicles",18000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Electronic home entertainment equipment installers and repairers,50000,0.5,11.6,4.3,13.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Security and fire alarm systems installers,41000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Aircraft mechanics and service technicians,153000,1.6,7.5,5.4,14.3,FALSE,TRUE,FALSE,mechanic,FALSE,FALSE
Automotive body and related repairers,140000,1.8,5.7,2.3,25.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Automotive glass installers and repairers,22000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Automotive service technicians and mechanics,867000,1.2,9.6,4.7,21.3,FALSE,TRUE,FALSE,mechanic,FALSE,FALSE
Bus and truck mechanics and diesel engine specialists,316000,0.5,8.6,1.3,13.4,FALSE,TRUE,FALSE,mechanic,FALSE,FALSE
Heavy vehicle and mobile equipment service technicians and mechanics,194000,1,5.4,2,17.3,FALSE,TRUE,FALSE,mechanic,FALSE,FALSE
Small engine mechanics,56000,1.4,4.9,0.2,12.2,FALSE,TRUE,FALSE,mechanic,FALSE,FALSE
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",87000,1.8,8,0,31.4,FALSE,TRUE,FALSE,mechanic,FALSE,FALSE
Control and valve installers and repairers,27000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Heating, air conditioning, and refrigeration mechanics and installers",340000,1.6,7.1,3.2,16.2,FALSE,TRUE,FALSE,mechanic,FALSE,FALSE
Home appliance repairers,47000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Industrial and refractory machinery mechanics,454000,1.9,4.5,2.9,13.3,FALSE,TRUE,FALSE,mechanic,FALSE,FALSE
"Maintenance and repair workers, general",442000,2.2,8.4,3.2,19.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Maintenance workers, machinery",28000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Millwrights,53000,6.4,2.1,1.4,6.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Electrical power-line installers and repairers,110000,2.4,7.8,0.3,7.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Telecommunications line installers and repairers,177000,4.8,11.2,1.9,15.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Precision instrument and equipment repairers,60000,16,9.1,1.1,13.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Wind turbine service technicians,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Coin, vending, and amusement machine servicers and repairers",33000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Commercial divers,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Locksmiths and safe repairers,31000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Manufactured building and mobile home installers,5000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Riggers,13000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Signal and track switch repairers,5000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Helpers--installation, maintenance, and repair workers",30000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Other installation, maintenance, and repair workers",205000,3.6,5.9,1.4,21.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of production and operating workers,808000,19.5,9.4,5.8,13.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Aircraft structure, surfaces, rigging, and systems assemblers",23000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Electrical, electronics, and electromechanical assemblers",166000,52.8,13.4,16.3,24,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Engine and other machine assemblers,32000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Structural metal fabricators and fitters,25000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Miscellaneous assemblers and fabricators,919000,38.4,15.8,6.9,19.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Bakers,199000,53.9,15.6,5.1,28.4,FALSE,TRUE,FALSE,baker,FALSE,FALSE
"Butchers and other meat, poultry, and fish processing workers",311000,23,13.5,7.9,41.6,FALSE,TRUE,FALSE,butcher,FALSE,FALSE
"Food and tobacco roasting, baking, and drying machine operators and tenders",11000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Food batchmakers,84000,59.6,12.2,5.7,33.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Food cooking machine operators and tenders,14000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Food processing workers, all other",117000,29.5,15.9,5.9,34.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Computer control programmers and operators,67000,8.4,6.4,3.3,17.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",10000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Forging machine setters, operators, and tenders, metal and plastic",10000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Rolling machine setters, operators, and tenders, metal and plastic",8000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",87000,18.9,8.4,3.3,22.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",54000,6.6,13.7,0.7,21.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",17000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Milling and planing machine setters, operators, and tenders, metal and plastic",3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Machinists,397000,3.8,4.5,4.9,11.7,FALSE,TRUE,FALSE,machinist,FALSE,FALSE
"Metal furnace operators, tenders, pourers, and casters",17000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Model makers and patternmakers, metal and plastic",11000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Molders and molding machine setters, operators, and tenders, metal and plastic",37000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Multiple machine tool setters, operators, and tenders, metal and plastic",5000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Tool and die makers,56000,0.8,3.1,5.6,4.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Welding, soldering, and brazing workers",593000,4.8,8.7,2.6,23,FALSE,TRUE,FALSE,welder,FALSE,FALSE
"Heat treating equipment setters, operators, and tenders, metal and plastic",4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Layout workers, metal and plastic",4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Plating and coating machine setters, operators, and tenders, metal and plastic",18000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Tool grinders, filers, and sharpeners",3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Metal workers and plastic workers, all other",375000,19.5,14.4,6.6,26,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Prepress technicians and workers,33000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Printing press operators,201000,17.2,10.1,3.4,15.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Print binding and finishing workers,22000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Laundry and dry-cleaning workers,185000,53.3,20.8,10.3,37.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Pressers, textile, garment, and related materials",54000,70.6,17,3.5,47.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Sewing machine operators,166000,74.2,5.6,11.4,43.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Shoe and leather workers and repairers,11000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Shoe machine operators and tenders,11000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Tailors, dressmakers, and sewers",86000,77.1,5.9,19.5,24.9,FALSE,TRUE,FALSE,NA,FALSE,FALSE
Textile bleaching and dyeing machine operators and tenders,5000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Textile cutting machine setters, operators, and tenders",12000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Textile knitting and weaving machine setters, operators, and tenders",7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",14000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Fabric and apparel patternmakers,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Upholsterers,34000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Textile, apparel, and furnishings workers, all other",14000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Cabinetmakers and bench carpenters,45000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Furniture finishers,7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Model makers and patternmakers, wood",0,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Sawing machine setters, operators, and tenders, wood",30000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Woodworking machine setters, operators, and tenders, except sawing",21000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
