occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
"Tax examiners and collectors, and revenue agents",82000,62.4,13.9,11.5,13.9,FALSE,TRUE,FALSE,tax collector,FALSE,FALSE
Tax preparers,107000,59.6,10.4,7.1,15.9,FALSE,TRUE,FALSE,tax preparer,FALSE,FALSE
"Financial specialists, all other",82000,66.5,10.9,8.4,11.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Computer and information research scientists,29000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Computer systems analysts,499000,30.9,8.8,15.8,4.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Information security analysts,52000,15.1,11.8,14.2,4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Computer programmers,480000,22.5,5.9,17.3,5.3,FALSE,TRUE,FALSE,computer programmer,FALSE,FALSE
"Software developers, applications and systems software",1084000,19.7,4,29.4,5.2,FALSE,TRUE,FALSE,software developer,FALSE,FALSE
Web developers,190000,33.7,4.1,8,5.6,FALSE,TRUE,FALSE,web developer,FALSE,FALSE
Computer support specialists,476000,27.1,12,7.7,9.7,FALSE,TRUE,FALSE,IT,FALSE,FALSE
Database administrators,101000,36.6,4.1,10,9.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Network and computer systems administrators,226000,25,10,11,10.7,FALSE,TRUE,FALSE,IT,FALSE,FALSE
Computer network architects,127000,8.1,10,14.6,4.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Computer occupations, all other",341000,24.4,11.4,11.7,5.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Actuaries,26000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Mathematicians,4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Operations research analysts,130000,54.9,8.3,9.3,6.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Statisticians,47000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Miscellaneous mathematical science occupations,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Architects, except naval",195000,23.5,1.3,6.2,8.2,FALSE,TRUE,FALSE,architect,FALSE,FALSE
"Surveyors, cartographers, and photogrammetrists",51000,27.8,4.3,5.4,8.1,FALSE,TRUE,TRUE,surveyor,FALSE,FALSE
Aerospace engineers,119000,9,1.8,13.4,4.6,FALSE,TRUE,FALSE,"aerospace engineer, engineer",FALSE,TRUE
Agricultural engineers,4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Biomedical engineers,10000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Chemical engineers,71000,17.7,5.9,9.3,6.7,FALSE,TRUE,FALSE,"chemical engineer, engineer",FALSE,TRUE
Civil engineers,358000,13.7,5.4,9,3.7,FALSE,TRUE,FALSE,"civil engineer,engineer",FALSE,TRUE
Computer hardware engineers,91000,15.1,8.5,20.8,6.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Electrical and electronics engineers,335000,9,3.5,16.6,6.7,FALSE,TRUE,FALSE,"electrical engineer,engineer",FALSE,TRUE
Environmental engineers,43000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Industrial engineers, including health and safety",197000,18.8,6.2,9.6,10.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Marine engineers and naval architects,8000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Materials engineers,40000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Mechanical engineers,288000,4.5,6.3,12.3,4.9,FALSE,TRUE,FALSE,"mechanical engineer,engineer",FALSE,TRUE
"Mining and geological engineers, including mining safety engineers",9000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Nuclear engineers,11000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Petroleum engineers,38000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Engineers, all other",359000,13.2,3.9,15.4,5.9,FALSE,TRUE,FALSE,engineer,FALSE,FALSE
Drafters,149000,16.6,3,7.7,9.9,FALSE,TRUE,FALSE,drafter,FALSE,FALSE
"Engineering technicians, except drafters",395000,16.3,10.8,5,12.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Surveying and mapping technicians,77000,4.3,5.3,2.5,13.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Agricultural and food scientists,42000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Biological scientists,101000,50.1,3.7,11.7,7.2,FALSE,TRUE,FALSE,biologist,FALSE,FALSE
Conservation scientists and foresters,25000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Medical scientists,136000,52.8,5.3,22.4,5.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Life scientists, all other",0,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Astronomers and physicists,25000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Atmospheric and space scientists,15000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Chemists and materials scientists,105000,44.2,4,9.2,9.4,FALSE,TRUE,FALSE,chemist,FALSE,FALSE
Environmental scientists and geoscientists,105000,25.7,7,1.3,1.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Physical scientists, all other",154000,35.1,2.7,20.4,3.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Economists,26000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Survey researchers,2000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Psychologists,178000,72.7,6,3.9,6.3,FALSE,TRUE,FALSE,psychologist,FALSE,FALSE
Sociologists,7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Urban and regional planners,28000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Miscellaneous social scientists and related workers,57000,54.3,10.8,5.5,7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Agricultural and food science technicians,32000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Biological technicians,19000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Chemical technicians,70000,29.9,15.4,4.8,7.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Geological and petroleum technicians,21000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Nuclear technicians,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Social science research assistants,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Miscellaneous life, physical, and social science technicians",160000,52.8,12.8,14.4,10.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Counselors,661000,69.3,19.4,2.9,10.7,FALSE,TRUE,FALSE,counselor,FALSE,FALSE
Social workers,734000,80.6,23,3.1,12.6,FALSE,TRUE,FALSE,social worker,FALSE,FALSE
Probation officers and correctional treatment specialists,88000,47.5,20.7,1.3,15,FALSE,TRUE,TRUE,probation officer,FALSE,FALSE
Social and human service assistants,151000,77.1,24.4,3.8,15.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Miscellaneous community and social service specialists, including health educators and community health workers",94000,75.7,16.9,2.4,18.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Clergy,408000,20.5,11.2,4.2,6.1,FALSE,TRUE,FALSE,clergy member,FALSE,FALSE
"Directors, religious activities and education",61000,66.3,7.4,2.1,5.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Religious workers, all other",69000,62.4,10,2.8,8.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Lawyers,1061000,31.1,4.4,4.3,4,FALSE,TRUE,FALSE,lawyer,FALSE,FALSE
Judicial law clerks,17000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Judges, magistrates, and other judicial workers",67000,39,12.8,0.7,4.5,FALSE,TRUE,TRUE,judge,FALSE,FALSE
Paralegals and legal assistants,418000,85.9,10.7,4.6,17,FALSE,TRUE,FALSE,paralegal,FALSE,FALSE
Miscellaneous legal support workers,223000,79,11.9,1.4,7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Postsecondary teachers,1350000,48.2,7.9,11.3,6.2,FALSE,TRUE,FALSE,professor?,TRUE,FALSE
Preschool and kindergarten teachers,678000,98.1,11.8,4.2,12,FALSE,TRUE,TRUE,kindergarten teacher,FALSE,FALSE
Elementary and middle school teachers,2838000,81.4,9.8,2.1,10.3,FALSE,TRUE,FALSE,primary school teacher,FALSE,FALSE
